Merchant,Vintage Index,FICO Bucket,New Accounts,growth_rate_applied
Merchant 5,14,Exceptional (800-850),1976.3235928105073,0.05613512822002339
Merchant 5,14,Very Good (740-799),3549.489971329395,0.05613512822002339
Merchant 5,14,Good (670-739),5560.209913771925,0.05613512822002339
Merchant 5,14,Fair (580-669),5883.90889402988,0.05613512822002339
Merchant 5,14,Poor (300-579),2761.8402285929888,0.05613512822002339
Merchant 5,15,Exceptional (800-850),2087.2647710971823,0.05613512822002339
Merchant 5,15,Very Good (740-799),3748.741045985658,0.05613512822002339
Merchant 5,15,Good (670-739),5872.333010211758,0.05613512822002339
Merchant 5,15,Fair (580-669),6214.202874231183,0.05613512822002339
Merchant 5,15,Poor (300-579),2916.876483948275,0.05613512822002339
Merchant 5,16,Exceptional (800-850),2204.4336466518603,0.05613512822002339
Merchant 5,16,Very Good (740-799),3959.1771052657264,0.05613512822002339
Merchant 5,16,Good (670-739),6201.97717669067,0.05613512822002339
Merchant 5,16,Fair (580-669),6563.037949361387,0.05613512822002339
Merchant 5,16,Poor (300-579),3080.6157193766817,0.05613512822002339
Merchant 5,17,Exceptional (800-850),2328.179812059196,0.05613512822002339
Merchant 5,17,Very Good (740-799),4181.426019715599,0.05613512822002339
Merchant 5,17,Good (670-739),6550.125960721858,0.05613512822002339
Merchant 5,17,Fair (580-669),6931.454926161668,0.05613512822002339
Merchant 5,17,Poor (300-579),3253.5464777805114,0.05613512822002339
Merchant 5,18,Exceptional (800-850),2458.8724843284085,0.05613512822002339
Merchant 5,18,Very Good (740-799),4416.150905474875,0.05613512822002339
Merchant 5,18,Good (670-739),6917.818121384283,0.05613512822002339
Merchant 5,18,Fair (580-669),7320.5530371930645,0.05613512822002339
Merchant 5,18,Poor (300-579),3436.1847264805256,0.05613512822002339
Merchant 5,19,Exceptional (800-850),2596.9016065128712,0.05613512822002339
Merchant 5,19,Very Good (740-799),4664.05210279268,0.05613512822002339
Merchant 5,19,Good (670-739),7306.150728630991,0.05613512822002339
Merchant 5,19,Fair (580-669),7731.493220577378,0.05613512822002339
Merchant 5,19,Poor (300-579),3629.0753966891953,0.05613512822002339
Merchant 5,20,Exceptional (800-850),2742.679011169256,0.05613512822002339
Merchant 5,20,Very Good (740-799),4925.8692656078165,0.05613512822002339
Merchant 5,20,Good (670-739),7716.282436577508,0.05613512822002339
Merchant 5,20,Fair (580-669),8165.501583846731,0.05613512822002339
Merchant 5,20,Poor (300-579),3832.7940094024757,0.05613512822002339
Merchant 5,21,Exceptional (800-850),2896.6396491276087,0.05613512822002339
Merchant 5,21,Very Good (740-799),5202.383568427783,0.05613512822002339
Merchant 5,21,Good (670-739),8149.436940536701,0.05613512822002339
Merchant 5,21,Fair (580-669),8623.873062236771,0.05613512822002339
Merchant 5,21,Poor (300-579),4047.9483925612208,0.05613512822002339
Merchant 6,14,Exceptional (800-850),4912.793150725868,0.06280676255955864
Merchant 6,14,Very Good (740-799),6839.220653635602,0.06280676255955864
Merchant 6,14,Good (670-739),6373.600170714741,0.06280676255955864
Merchant 6,14,Fair (580-669),4427.827789114701,0.06280676255955864
Merchant 6,14,Poor (300-579),2000.5828712225766,0.06280676255955864
Merchant 6,15,Exceptional (800-850),5221.349783647734,0.06280676255955864
Merchant 6,15,Very Good (740-799),7268.769961320922,0.06280676255955864
Merchant 6,15,Good (670-739),6773.905363286383,0.06280676255955864
Merchant 6,15,Fair (580-669),4705.925317720244,0.06280676255955864
Merchant 6,15,Poor (300-579),2126.233004596173,0.06280676255955864
Merchant 6,16,Exceptional (800-850),5549.285859749701,0.06280676255955864
Merchant 6,16,Very Good (740-799),7725.29787038166,0.06280676255955864
Merchant 6,16,Good (670-739),7199.352429039234,0.06280676255955864
Merchant 6,16,Fair (580-669),5001.489251773315,0.06280676255955864
Merchant 6,16,Poor (300-579),2259.7748160621422,0.06280676255955864
Merchant 6,17,Exceptional (800-850),5897.818539118117,0.06280676255955864
Merchant 6,17,Very Good (740-799),8210.498819428585,0.06280676255955864
Merchant 6,17,Good (670-739),7651.520447632483,0.06280676255955864
Merchant 6,17,Fair (580-669),5315.6165996536265,0.06280676255955864
Merchant 6,17,Poor (300-579),2401.703956372628,0.06280676255955864
Merchant 6,18,Exceptional (800-850),6268.241427723871,0.06280676255955864
Merchant 6,18,Very Good (740-799),8726.173669275973,0.06280676255955864
Merchant 6,18,Good (670-739),8132.0876756065445,0.06280676255955864
Merchant 6,18,Fair (580-669),5649.4732692857215,0.06280676255955864
Merchant 6,18,Poor (300-579),2552.547206498876,0.06280676255955864
Merchant 6,19,Exceptional (800-850),6661.929378740915,0.06280676255955864
Merchant 6,19,Very Good (740-799),9274.236386975663,0.06280676255955864
Merchant 6,19,Good (670-739),8642.83777536188,0.06280676255955864
Merchant 6,19,Fair (580-669),6004.298395496324,0.06280676255955864
Merchant 6,19,Poor (300-579),2712.8644328195164,0.06280676255955864
Merchant 6,20,Exceptional (800-850),7080.343595420044,0.06280676255955864
Merchant 6,20,Very Good (740-799),9856.721149653664,0.06280676255955864
Merchant 6,20,Good (670-739),9185.666435359817,0.06280676255955864
Merchant 6,20,Fair (580-669),6381.4089391590005,0.06280676255955864
Merchant 6,20,Poor (300-579),2883.2506651078834,0.06280676255955864
Merchant 6,21,Exceptional (800-850),7525.037054457684,0.06280676255955864
Merchant 6,21,Very Good (740-799),10475.789894515741,0.06280676255955864
Merchant 6,21,Good (670-739),9762.58840611677,0.06280676255955864
Merchant 6,21,Fair (580-669),6782.204575196206,0.06280676255955864
Merchant 6,21,Poor (300-579),3064.338305031004,0.06280676255955864
Merchant 7,14,Exceptional (800-850),8270.00810149785,0.04854761656142955
Merchant 7,14,Very Good (740-799),9994.850047289168,0.04854761656142955
Merchant 7,14,Good (670-739),6444.487342599707,0.04854761656142955
Merchant 7,14,Fair (580-669),3539.1471892397367,0.04854761656142955
Merchant 7,14,Poor (300-579),1166.4136067713246,0.04854761656142955
Merchant 7,15,Exceptional (800-850),8671.497283769282,0.04854761656142955
